Time,Total Time,Instances,Avg,Med,Min,Max,StdDev,Name
0.20%,547.502 ms,136099,4.022 μs,3.904 μs,3.488 μs,8.224 μs,288 ns,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.20%,487.286 ms,124352,3.918 μs,3.904 μs,3.616 μs,4.352 μs,211 ns,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.20%,390.072 ms,138338,2.819 μs,2.720 μs,2.143 μs,10.048 μs,572 ns,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.20%,372.142 ms,320,1.163 ms,1.014 ms,607.837 μs,1.953 ms,329.072 μs,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn
0.20%,341.687 ms,144940,2.357 μs,2.304 μs,1.920 μs,6.848 μs,137 ns,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.30%,750.972 ms,135970,5.523 μs,4.704 μs,3.264 μs,764.189 μs,22.592 μs,"void vllm::moe::moe_sum_kernel<c10::BFloat16, (int)2>(T1 *, const T1 *, int)"
0.30%,734.530 ms,135974,5.402 μs,5.184 μs,4.448 μs,219.264 μs,6.027 μs,"void vllm::rotary_embedding_kernel<c10::BFloat16, (bool)1>(const long *, T1 *, T1 *, const T1 *, int, long, long, long, int, int, int)"
0.30%,688.594 ms,135715,5.073 μs,5.024 μs,4.672 μs,8.352 μs,282 ns,"void vllm::moe::moe_align_block_size_small_batch_expert_kernel<int>(const T1 *, int *, int *, int *, int, int, unsigned long, int)"
0.30%,582.881 ms,135971,4.286 μs,4.224 μs,3.680 μs,6.624 μs,286 ns,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.40%,935.285 ms,18209,51.363 μs,29.536 μs,14.560 μs,21.208 ms,292.464 μs,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.50%,1.216 s,271943,4.470 μs,4.192 μs,3.424 μs,199.327 μs,6.163 μs,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, (int)8>(T1 *, long, T1 *, const T1 *, float, int, int)"
0.50%,1.123 s,71698,15.668 μs,14.848 μs,8.480 μs,26.752 μs,4.577 μs,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)"
0.90%,1.924 s,4251,452.689 μs,245.567 μs,9.312 μs,44.861 ms,938.406 μs,ncclDevKernel_AllReduce_Sum_u32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
1.30%,3.019 s,73382,41.138 μs,41.056 μs,39.392 μs,56.704 μs,638 ns,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_64x6_tn_align8>(T1::Params)
1.30%,2.936 s,64187,45.749 μs,41.280 μs,35.520 μs,207.392 μs,25.252 μs,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1.40%,3.242 s,135970,23.842 μs,16.032 μs,11.680 μs,7.333 ms,203.159 μs,"void vllm::act_and_mul_kernel<c10::BFloat16, &vllm::silu_kernel<c10::BFloat16>, (bool)1>(T1 *, const T1 *, int)"
1.80%,4.061 s,135942,29.869 μs,29.696 μs,19.264 μs,57.280 μs,1.079 μs,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
7.00%,15.803 s,117763,134.193 μs,75.391 μs,9.248 μs,8.566 ms,154.831 μs,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
32.90%,73.868 s,135970,543.264 μs,320.351 μs,8.192 μs,369.334 ms,8.109 ms,ncclDevKernel_Reduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
48.30%,108.419 s,271941,398.684 μs,392.126 μs,2.624 μs,225.736 ms,2.446 ms,fused_moe_kernel
