Time,Total Time,Instances,Avg,Med,Min,Max,StdDev,Name
0.20%,371.680 ms,137032,2.712 μs,2.528 μs,2.143 μs,9.984 μs,670 ns,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.20%,346.781 ms,103538,3.349 μs,3.296 μs,2.976 μs,80.512 μs,1.722 μs,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *)"
0.20%,340.311 ms,144441,2.356 μs,2.304 μs,1.920 μs,6.880 μs,141 ns,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.20%,330.361 ms,133797,2.469 μs,2.432 μs,1.984 μs,6.976 μs,286 ns,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.30%,737.764 ms,133788,5.514 μs,4.704 μs,3.232 μs,763.934 μs,22.775 μs,"void vllm::moe::moe_sum_kernel<c10::BFloat16, (int)2>(T1 *, const T1 *, int)"
0.30%,723.858 ms,133791,5.410 μs,5.184 μs,4.288 μs,219.071 μs,6.173 μs,"void vllm::rotary_embedding_kernel<c10::BFloat16, (bool)1>(const long *, T1 *, T1 *, const T1 *, int, long, long, long, int, int, int)"
0.30%,675.985 ms,133533,5.062 μs,5.056 μs,4.640 μs,8.352 μs,282 ns,"void vllm::moe::moe_align_block_size_small_batch_expert_kernel<int>(const T1 *, int *, int *, int *, int, int, unsigned long, int)"
0.30%,576.576 ms,133789,4.309 μs,4.224 μs,3.680 μs,6.528 μs,310 ns,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4, (int)4>>(T3)"
0.30%,538.516 ms,133916,4.021 μs,3.904 μs,3.456 μs,8.256 μs,287 ns,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.60%,1.345 s,98802,13.613 μs,12.192 μs,8.416 μs,28.928 μs,3.955 μs,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)"
0.60%,1.271 s,4183,303.850 μs,82.656 μs,9.216 μs,52.701 ms,1.254 ms,ncclDevKernel_AllReduce_Sum_u32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.60%,1.195 s,267579,4.465 μs,4.160 μs,3.456 μs,198.303 μs,6.303 μs,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, (int)8>(T1 *, long, T1 *, const T1 *, float, int, int)"
1.30%,2.758 s,60227,45.800 μs,41.344 μs,39.488 μs,208.096 μs,25.251 μs,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1.50%,3.201 s,133788,23.925 μs,15.968 μs,11.616 μs,7.865 ms,205.164 μs,"void vllm::act_and_mul_kernel<c10::BFloat16, &vllm::silu_kernel<c10::BFloat16>, (bool)1>(T1 *, const T1 *, int)"
1.50%,3.082 s,75040,41.076 μs,40.992 μs,39.456 μs,56.896 μs,650 ns,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_64x6_tn_align8>(T1::Params)
1.90%,3.990 s,133695,29.847 μs,29.728 μs,28.128 μs,57.376 μs,983 ns,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
3.00%,6.383 s,60702,105.156 μs,37.408 μs,14.080 μs,9.386 ms,163.803 μs,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.40%,7.245 s,73088,99.127 μs,55.168 μs,9.472 μs,8.088 ms,146.023 μs,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
33.40%,71.065 s,133788,531.174 μs,280.543 μs,8.096 μs,378.556 ms,8.197 ms,ncclDevKernel_Reduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
48.30%,102.664 s,267576,383.682 μs,346.878 μs,2.592 μs,239.809 ms,2.472 ms,fused_moe_kernel
